City	nearest_area__latitude	nearest_area__longitude	weather__hourly__UTCdate	weather__hourly__UTCtime	weather__mintempC	weather__mintempF	weather__uvIndex	weather__hourly__time			weather__hourly__tempC	weather__hourly__tempF	weather__hourly__windspeedMiles	weather__hourly__windspeedKmph	weather__hourly__winddirDegree	weather__hourly__winddir16Point	weather__hourly__weatherCode	weather__hourly__weatherDesc__value	weather__hourly__precipMM	weather__hourly__humidity	weather__hourly__visibility	weather__hourly__pressure	weather__hourly__cloudcover	weather__hourly__HeatIndexC	weather__hourly__HeatIndexF	weather__hourly__DewPointC	weather__hourly__DewPointF	weather__hourly__WindChillC	weather__hourly__WindChillF	weather__hourly__WindGustMiles	weather__hourly__WindGustKmph	weather__hourly__FeelsLikeC	weather__hourly__FeelsLikeF
London	51.52	-0.11	2017-01-04	00:00:00	3	38	0	0			2	36	6	9	285	WNW	113	Clear	0	92	10	1034	8	2	36	1	34	0	31	12	20	0	31
London	51.52	-0.11	2017-01-04	01:00:00	3	38	0	100			2	36	6	10	279	W	113	Clear	0	85	10	1033	7	2	36	0	32	-1	30	13	21	-1	30
London	51.52	-0.11	2017-01-04	02:00:00	3	38	0	200			2	35	7	11	273	W	113	Clear	0	78	10	1033	7	2	35	-2	29	-1	29	14	23	-1	29
London	51.52	-0.11	2017-01-04	03:00:00	3	38	0	300			2	35	7	12	268	W	113	Clear	0	72	10	1032	6	2	35	-3	27	-2	29	15	24	-2	29
London	51.52	-0.11	2017-01-04	04:00:00	3	38	0	400			1	35	7	11	274	W	113	Clear	0	72	10	1032	6	1	35	-3	27	-2	29	15	24	-2	29
London	51.52	-0.11	2017-01-04	05:00:00	3	38	0	500			1	34	7	11	280	W	113	Clear	0	73	10	1032	6	1	34	-3	27	-2	28	14	23	-2	28
London	51.52	-0.11	2017-01-04	06:00:00	3	38	0	600			1	34	7	11	287	WNW	113	Clear	0	74	10	1031	6	1	34	-3	27	-2	28	14	23	-2	28
London	51.52	-0.11	2017-01-04	07:00:00	3	38	0	700			2	36	7	11	291	WNW	113	Clear	0	78	10	1031	6	2	36	-2	29	-1	30	13	21	-1	30
London	51.52	-0.11	2017-01-04	08:00:00	3	38	0	800			3	37	6	10	294	WNW	113	Clear	0	82	10	1031	5	3	37	0	32	0	32	12	20	0	32
London	51.52	-0.11	2017-01-04	09:00:00	3	38	0	900			3	38	6	10	298	WNW	113	Sunny	0	86	10	1031	5	3	38	1	34	1	33	11	18	1	33
London	51.52	-0.11	2017-01-04	10:00:00	3	38	0	1000			5	40	6	10	300	WNW	113	Sunny	0	85	10	1031	6	5	40	2	36	2	36	10	16	2	36
London	51.52	-0.11	2017-01-04	11:00:00	3	38	0	1100			6	43	7	11	302	WNW	113	Sunny	0	84	10	1031	8	6	43	3	38	4	38	9	15	4	38
London	51.52	-0.11	2017-01-04	12:00:00	3	38	0	1200			7	45	7	11	305	NW	113	Sunny	0	83	10	1031	9	7	45	4	40	5	41	8	13	5	41
London	51.52	-0.11	2017-01-04	13:00:00	3	38	0	1300			7	44	7	11	303	WNW	113	Sunny	0	86	7	1030	13	7	44	5	40	5	40	9	14	5	40
London	51.52	-0.11	2017-01-04	14:00:00	3	38	0	1400			6	44	6	10	301	WNW	143	Mist	0	90	5	1030	16	6	44	5	41	4	40	9	15	4	40
London	51.52	-0.11	2017-01-04	15:00:00	3	38	0	1500			6	43	6	10	299	WNW	143	Mist	0	94	2	1030	20	6	43	5	42	4	39	10	15	4	39
London	51.52	-0.11	2017-01-04	16:00:00	3	38	0	1600			5	41	6	10	305	NW	143	Mist	0	95	2	1029	24	5	41	4	40	3	37	11	18	3	37
London	51.52	-0.11	2017-01-04	17:00:00	3	38	0	1700			4	39	6	10	312	NW	143	Mist	0	96	2	1029	28	4	39	3	38	1	34	12	20	1	34
London	51.52	-0.11	2017-01-04	18:00:00	3	38	0	1800			3	37	6	10	319	NW	143	Mist	0	96	2	1029	32	3	37	2	36	0	32	14	22	0	32
London	51.52	-0.11	2017-01-04	19:00:00	3	38	0	1900			3	37	6	10	321	NW	143	Mist	0	96	2	1029	35	3	37	2	36	0	32	13	22	0	32
London	51.52	-0.11	2017-01-04	20:00:00	3	38	0	2000			3	37	6	10	322	NW	143	Mist	0	97	2	1029	37	3	37	2	36	0	31	13	21	0	31
London	51.52	-0.11	2017-01-04	21:00:00	3	38	0	2100			2	36	6	10	323	NW	143	Mist	0	97	2	1029	40	2	36	2	36	-1	31	13	21	-1	31
London	51.52	-0.11	2017-01-04	22:00:00	3	38	0	2200			2	36	6	10	323	NW	143	Mist	0	97	2	1028	35	2	36	2	36	0	31	13	21	0	31
London	51.52	-0.11	2017-01-04	23:00:00	3	38	0	2300			2	36	6	10	323	NW	143	Mist	0	96	2	1028	31	2	36	2	35	0	31	13	20	0	31
London	51.52	-0.11	2017-01-03	00:00:00	0	32	0	0			13	55	21	34	249	WSW	266	Light drizzle	0.7	90	2	1017	100	11	52	10	49	8	47	40	64	8	47
London	51.52	-0.11	2017-01-03	01:00:00	0	32	0	100			13	55	20	33	247	WSW	266	Light drizzle	0.9	89	4	1018	100	11	52	9	49	8	46	41	67	8	46
London	51.52	-0.11	2017-01-03	02:00:00	0	32	0	200			13	55	20	32	245	WSW	296	Light rain	1	89	7	1018	100	11	52	9	49	8	46	43	70	8	46
London	51.52	-0.11	2017-01-03	03:00:00	0	32	0	300			13	55	19	31	243	WSW	296	Light rain	1.2	89	9	1019	100	11	51	9	48	7	45	45	73	7	45
London	51.52	-0.11	2017-01-03	04:00:00	0	32	0	400			13	55	19	31	244	WSW	296	Light rain	0.9	88	7	1019	100	11	51	9	48	7	45	45	72	7	45
London	51.52	-0.11	2017-01-03	05:00:00	0	32	0	500			13	55	19	31	244	WSW	266	Light drizzle	0.7	87	4	1020	100	10	51	8	47	7	44	44	72	7	44
London	51.52	-0.11	2017-01-03	06:00:00	0	32	0	600			13	55	19	31	245	WSW	266	Light drizzle	0.4	87	2	1020	100	10	50	8	47	7	44	44	71	7	44
London	51.52	-0.11	2017-01-03	07:00:00	0	32	0	700			13	55	20	32	244	WSW	266	Light drizzle	0.3	87	5	1021	100	11	51	9	48	7	45	40	64	7	45
London	51.52	-0.11	2017-01-03	08:00:00	0	32	0	800			13	55	20	32	242	WSW	122	Overcast	0.1	87	7	1021	100	11	52	9	49	8	46	36	58	8	46
London	51.52	-0.11	2017-01-03	09:00:00	0	32	0	900			13	55	20	33	241	WSW	122	Overcast	0	87	10	1022	100	12	53	10	49	9	48	32	51	9	48
London	51.52	-0.11	2017-01-03	10:00:00	0	32	0	1000			13	56	21	34	243	WSW	122	Overcast	0	85	10	1022	100	12	54	10	50	9	49	30	48	9	49
